Category,Subfolder,File,Source,PW score (Entity Coherence),PU score (Entity Coherence),PACC uniform (Entity Coherence),PACC weighted (Entity Coherence),Avg entities/sentence (Entity Coherence),Total entities (Entity Coherence),Sentences analyzed (Entity Coherence),Entity persistence ratio (Entity Coherence),Consensus grade level (Readability),Flesch Reading Ease 0-100 (Readability),Flesch-Kincaid grade level (Readability),ARI grade level (Readability),Gunning Fog grade level (Readability),SMOG grade level (Readability),Coleman-Liau grade level (Readability),Interpretation (Readability),Structure score 0-100 (Structure),Headings count (Structure),Headings per sentence (Structure),List items count (Structure),Lists per sentence (Structure),Readiness score 0-100 (Requirements),SMAO sentences count (Requirements),SMAO sentences % (Requirements),Vague words per sentence (Requirements),Anaphora per sentence (Requirements),Sentence CV (Requirements),CPRE terms per sentence (CPRE)
Small PRD,small_prd_files,candidtim__f2-commander__doc__prd-preview,https://github.com/candidtim/f2-commander,27.59,10.7,123.93,2.56,7.37,199,27,0.24,16.9,31.7,17.4,20,19.6,15.9,11.2,Difficult (College),95.7,23,0.92,74,2.96,30.0,0,0.0,0.48,0.32,2.105,1.48
Small PRD,small_prd_files,neonwatty__marketer-gen__pre-prd,https://github.com/neonwatty/marketer-gen,17.46,12.2,49.52,1.59,4.73,388,82,0.31,13.3,36.2,11.6,13,13.8,12.8,15.3,Difficult (College),71.6,12,0.12,111,1.1,46.0,0,0.0,0.16,0.24,1.232,0.77
Small PRD,small_prd_files,MERGE-AI-Garage__flow-app__flow_prd,https://github.com/MERGE-AI-Garage/flow-app,25.03,9.66,50.37,1.91,9.32,354,38,0.33,13.8,35.2,12.0,14,14.4,13.3,15.6,Difficult (College),96.1,30,0.4,148,1.97,46.0,0,0.0,0.2,0.12,1.357,1.37
Small PRD,small_prd_files,ahsanhabibakik__tastejourney__COMPLETE_PRD,https://github.com/ahsanhabibakik/tastejourney,27.43,12.58,59.66,1.76,6.37,427,67,0.34,17.2,9.6,15.9,17,18.5,15.7,19.1,Very Difficult (College Graduate),97.3,43,0.45,124,1.29,46.0,1,1.0,0.09,0.32,1.642,0.52
Small PRD,small_prd_files,ghanithan__rust-tour__docs__plan__PRD_Progress_System,https://github.com/ghanithan/rust-tour,56.12,7.38,121.94,2.36,27.44,439,16,0.3,27.5,-28.5,26.4,32,30.0,24.5,24.7,Very Difficult (College Graduate),98.9,43,1.07,165,4.12,30.0,0,0.0,0.75,0.12,2.034,2.02
Small PRD,small_prd_files,seanchatmangpt__gitvan__docs__v2__AI-PRD-V2,https://github.com/seanchatmangpt/gitvan,18.33,11.76,34.26,1.27,4.03,290,72,0.32,9.8,48.2,8.1,10,10.1,9.4,11.5,Difficult (College),97.6,23,0.18,68,0.53,46.0,0,0.0,0.01,0.01,0.917,0.29
Small PRD,small_prd_files,jeffdevbot__agency-os__docs__03_npat_prd,https://github.com/jeffdevbot/agency-os,85.93,37.99,156.99,2.45,4.2,785,187,0.5,13.4,37.6,11.8,14,14.0,13.0,14.3,Difficult (College),85.0,75,0.27,430,1.56,46.0,0,0.0,0.11,0.05,1.93,0.56
Small PRD,small_prd_files,RandalSchwartz__fcaic_adventure_demo__CHOOSE-PRD,https://github.com/RandalSchwartz/fcaic_adventure_demo,20.93,14.97,47.25,1.65,2.84,273,96,0.4,12.1,42.8,10.5,11,13.7,12.6,12.2,Difficult (College),79.0,18,0.17,49,0.46,46.0,7,6.5,0.12,0.3,0.818,0.82
Small PRD,small_prd_files,ErpNetDocs__model__tables__Prd_Workgroup_Resources,https://github.com/ErpNetDocs/model,10.0,2.08,18.5,0.98,11.25,135,12,0.4,15.7,33.7,14.5,19,17.2,15.3,12.7,Difficult (College),45.5,16,0.59,1,0.04,46.0,0,0.0,0.41,0.07,2.408,0.81
Small PRD,small_prd_files,sicparvisventures__reserve4you__docs__PRD_STATUS_NOV2025,https://github.com/sicparvisventures/reserve4you,18.81,11.9,31.86,1.27,5.09,438,86,0.37,13.9,27.0,11.6,15,13.7,11.6,17.4,Very Difficult (College Graduate),75.0,13,0.09,93,0.61,46.0,0,0.0,0.05,0.02,1.195,0.26
Small PRD,small_prd_files,goutham-m7__VerbaFlow__docs__PRDs,https://github.com/goutham-m7/VerbaFlow,19.04,7.33,36.22,1.79,9.33,252,27,0.33,18.9,9.2,16.3,21,19.5,16.5,21.3,Very Difficult (College Graduate),94.2,26,0.63,85,2.07,46.0,0,0.0,0.29,0.1,1.13,1.24
Small PRD,small_prd_files,jehmal__RecieptSaver__.claude__.bmad-core__templates__prd-tmpl,https://github.com/jehmal/RecieptSaver,12.86,9.93,31.9,1.36,4.38,315,72,0.29,14.6,34.6,13.2,15,16.5,14.9,14.3,Difficult (College),74.7,28,0.39,46,0.65,30.0,0,0.0,0.15,0.46,1.151,1.39
Small PRD,small_prd_files,falamadi__RAAS-replit__raas-prd,https://github.com/falamadi/RAAS-replit,71.58,38.24,146.0,2.45,5.67,1230,217,0.44,19.7,3.6,17.7,20,21.9,18.2,20.7,Very Difficult (College Graduate),81.2,98,0.3,507,1.54,46.0,14,4.3,0.22,0.17,1.299,1.17
Small PRD,small_prd_files,laude-institute__harbor-datasets__datasets__deveval__python-lice-unit-testing__environment__deveval_source_repo__PRD,https://github.com/laude-institute/harbor-datasets,21.58,10.13,53.87,2.2,5.39,167,31,0.38,13.2,37.9,11.0,13,13.8,12.6,14.6,Difficult (College),89.5,19,0.26,40,0.56,46.0,0,0.0,0.18,0.21,0.658,0.69
Small PRD,small_prd_files,AnthonyWilliams91__Mellowise_app__docs__lsat-course-prd,https://github.com/AnthonyWilliams91/Mellowise_app,107.23,57.08,169.01,3.64,3.34,622,186,0.45,22.6,-11.9,19.9,23,24.7,19.7,24.8,Very Difficult (College Graduate),90.1,78,0.44,372,2.11,46.0,0,0.0,0.21,0.06,1.335,0.52
Small PRD,small_prd_files,Sbursu__Carbon-EF__data-extraction-prd,https://github.com/Sbursu/Carbon-EF,28.58,13.87,53.42,1.57,4.68,426,91,0.47,14.0,21.6,11.9,15,15.4,11.5,16.4,Very Difficult (College Graduate),85.0,56,0.2,245,0.88,46.0,0,0.0,0.14,0.03,1.309,0.34
