Category,Subfolder,File,Source,PW score (Entity Coherence),PU score (Entity Coherence),PACC uniform (Entity Coherence),PACC weighted (Entity Coherence),Avg entities/sentence (Entity Coherence),Total entities (Entity Coherence),Sentences analyzed (Entity Coherence),Entity persistence ratio (Entity Coherence),Consensus grade level (Readability),Flesch Reading Ease 0-100 (Readability),Flesch-Kincaid grade level (Readability),ARI grade level (Readability),Gunning Fog grade level (Readability),SMOG grade level (Readability),Coleman-Liau grade level (Readability),Interpretation (Readability),Structure score 0-100 (Structure),Headings count (Structure),Headings per sentence (Structure),List items count (Structure),Lists per sentence (Structure),Readiness score 0-100 (Requirements),SMAO sentences count (Requirements),SMAO sentences % (Requirements),Vague words per sentence (Requirements),Anaphora per sentence (Requirements),Sentence CV (Requirements),CPRE terms per sentence (CPRE)
Small PRD,small_prd_files,avirajkhare00__prisma-schema-generator__prd,https://github.com/avirajkhare00/prisma-schema-generator,27.1,17.16,49.22,1.76,2.36,196,83,0.37,11.0,34.9,10.2,9,13.1,10.8,12.2,Difficult (College),84.8,18,0.13,71,0.5,46.0,0,0.0,0.09,0.01,0.975,0.45
Small PRD,small_prd_files,ErpNetDocs__model__tables__Prd_Capacity,https://github.com/ErpNetDocs/model,18.1,2.2,24.4,0.97,12.1,121,10,0.49,17.8,26.6,16.1,24,19.2,16.8,13.1,Very Difficult (College Graduate),51.2,17,0.74,2,0.09,30.0,0,0.0,0.52,0.0,4.135,0.87
Small PRD,small_prd_files,dasheck0__qraft__tasks__prd-copy-no-sync-flag,https://github.com/dasheck0/qraft,20.83,11.69,43.07,1.87,4.14,174,42,0.36,12.3,38.7,10.5,12,13.0,11.8,13.8,Difficult (College),97.7,21,0.3,45,0.63,46.0,0,0.0,0.03,0.08,1.125,0.42
Small PRD,small_prd_files,briandw__ContextPacket__docs__archive__prd_v1,https://github.com/briandw/ContextPacket,18.78,8.47,33.33,1.58,10.44,376,36,0.28,13.8,37.6,11.2,17,13.2,12.3,15.7,Difficult (College),90.7,20,0.32,47,0.75,46.0,0,0.0,0.05,0.03,1.588,0.54
Small PRD,small_prd_files,CalvHobbes__a11y-mcp__a11y_mcp_server-prd,https://github.com/CalvHobbes/a11y-mcp,25.47,13.42,47.72,1.9,5.73,367,64,0.36,12.9,34.2,11.3,12,13.9,12.5,14.7,Difficult (College),80.3,25,0.19,117,0.89,46.0,0,0.0,0.15,0.02,0.655,0.39
Small PRD,small_prd_files,microscaler__BRRTRouter__tasks__code-quality-foundation-prd,https://github.com/microscaler/BRRTRouter,68.47,15.95,160.09,2.28,9.05,579,64,0.46,16.7,11.4,14.4,17,18.3,14.3,19.9,Very Difficult (College Graduate),97.0,141,0.41,452,1.33,46.0,0,0.0,0.12,0.04,1.418,0.98
Small PRD,small_prd_files,Some19ice__ngdi-metadata-portal__docs__NGDI_Portal_PRD,https://github.com/Some19ice/ngdi-metadata-portal,167.75,85.54,242.34,3.16,2.38,867,365,0.48,16.1,10.1,14.7,14,18.6,14.6,18.2,Very Difficult (College Graduate),63.1,34,0.06,655,1.16,46.0,0,0.0,0.15,0.15,0.784,0.68
Small PRD,small_prd_files,laude-institute__harbor-datasets__datasets__deveval__python-lice-acceptance-testing__environment__deveval_source_repo__PRD,https://github.com/laude-institute/harbor-datasets,21.61,10.13,53.9,2.2,5.35,166,31,0.39,13.2,37.7,11.0,13,13.9,12.6,14.6,Difficult (College),89.5,19,0.26,40,0.56,46.0,0,0.0,0.18,0.21,0.658,0.69
Small PRD,small_prd_files,bluewings1211__codebase-RAG__tasks__prd-documentation-modernization,https://github.com/bluewings1211/codebase-RAG,24.35,11.94,96.32,2.75,5.35,166,31,0.35,15.8,19.9,13.8,16,17.0,14.4,17.9,Very Difficult (College Graduate),86.5,15,0.26,43,0.74,64.0,17,29.3,0.17,0.26,1.162,0.88
Small PRD,small_prd_files,cecil-the-coder__bmad-discord-bot__.bmad-core__templates__prd-tmpl,https://github.com/cecil-the-coder/bmad-discord-bot,12.88,9.93,31.92,1.36,4.4,317,72,0.29,14.9,34.5,13.4,15,16.6,15.0,14.2,Difficult (College),74.5,28,0.41,46,0.67,30.0,0,0.0,0.16,0.48,1.113,1.43
Small PRD,small_prd_files,schubbydoo__ghosthost__docs__ghosthost_prd,https://github.com/schubbydoo/ghosthost,7.01,5.73,13.2,1.0,3.11,218,70,0.33,11.6,37.3,9.9,12,11.8,10.4,13.9,Difficult (College),95.7,18,0.2,46,0.51,46.0,0,0.0,0.04,0.12,1.052,0.29
Small PRD,small_prd_files,djordjejankovic10__community-bloom-portal__PRD_template,https://github.com/djordjejankovic10/community-bloom-portal,14.87,9.77,28.12,1.67,5.82,349,60,0.3,16.7,19.6,14.4,17,18.3,15.5,18.5,Very Difficult (College Graduate),86.8,23,0.31,100,1.33,30.0,1,1.3,0.17,0.47,1.529,1.31
Small PRD,small_prd_files,robertguss__social_post__docs__archive__prd-better-auth,https://github.com/robertguss/social_post,15.29,4.88,37.24,1.64,11.47,195,17,0.29,17.2,8.6,15.2,18,17.7,14.6,20.4,Very Difficult (College Graduate),91.3,15,0.29,41,0.8,46.0,0,0.0,0.1,0.16,1.358,0.53
GitHub Articles,non_related_github,seanpm2001__Raspberry-Pi-Network-Setup__Learn-Pi__New-Pi__2022__06_June__04__README,https://github.com/seanpm2001/Raspberry-Pi-Network-Setup,998.87,490.38,4672.17,4.59,0.71,1423,2014,0.33,9.7,64.5,8.7,9,12.0,11.5,7.1,Standard (8th-9th grade),47.4,253,0.12,394,0.18,30.0,0,0.0,0.15,0.73,2.769,0.15
Small PRD,small_prd_files,svelte-society__sveltesociety.dev__docs__PRD_PLAYWRIGHT_E2E_TESTING,https://github.com/svelte-society/sveltesociety.dev,105.68,45.13,269.69,3.03,4.12,836,203,0.48,15.0,30.0,12.9,15,15.6,14.0,16.8,Difficult (College),78.6,72,0.2,650,1.79,46.0,0,0.0,0.13,0.02,2.087,0.63
Small PRD,small_prd_files,devenspear__thrivemore-subdomain__ThriveTech-PRD,https://github.com/devenspear/thrivemore-subdomain,66.73,42.97,104.09,2.15,3.94,1048,266,0.46,14.0,27.3,12.0,13,15.0,12.7,16.9,Very Difficult (College Graduate),89.6,101,0.22,407,0.89,46.0,0,0.0,0.06,0.06,1.01,0.29
Small PRD,small_prd_files,hth003__dana-journal__documentation__AI_Journal_Vault_PRD,https://github.com/hth003/dana-journal,97.39,18.81,201.55,2.49,13.73,851,62,0.4,22.1,-4.8,20.6,24,24.0,20.2,22.2,Very Difficult (College Graduate),94.7,158,0.98,392,2.43,46.0,0,0.0,0.3,0.09,2.058,1.87
Small PRD,small_prd_files,austery__thought-foundry__src__notes__GWOPRdN8INU,https://github.com/austery/thought-foundry,228.84,98.21,1116.24,2.85,2.14,923,432,0.34,12.1,56.2,11.4,12,14.8,13.2,8.8,Fairly Difficult (10th-12th grade),17.2,13,0.03,33,0.07,18.0,0,0.0,0.21,1.59,1.14,0.79
Small PRD,small_prd_files,mgreenly__3dot0__prd-v4,https://github.com/mgreenly/3dot0,15.59,7.3,49.86,1.5,7.7,285,37,0.32,14.3,35.1,12.4,16,14.1,13.1,15.9,Difficult (College),85.7,22,0.3,127,1.74,46.0,0,0.0,0.21,0.1,2.253,0.36
Small PRD,small_prd_files,jbillington__carebear__carebear_prd,https://github.com/jbillington/carebear,17.39,9.84,32.71,1.56,3.65,179,49,0.48,10.3,51.3,8.3,10,10.6,10.2,11.7,Fairly Difficult (10th-12th grade),89.4,15,0.19,38,0.47,46.0,0,0.0,0.05,0.03,1.149,0.38
Small PRD,small_prd_files,relenga__CKDemoLLM__PRD_-_Copy,https://github.com/relenga/CKDemoLLM,31.38,15.85,60.75,1.43,3.32,501,151,0.49,14.3,26.6,12.7,14,15.3,13.4,16.7,Very Difficult (College Graduate),90.0,56,0.28,254,1.26,28.8,4,2.0,0.45,0.22,1.369,0.6
Small PRD,small_prd_files,walzer__deprecated-cocos-prd__projectx_PRD,https://github.com/walzer/deprecated-cocos-prd,32.69,21.16,115.79,1.56,2.27,438,193,0.38,10.2,56.7,8.8,10,11.5,11.3,9.4,Fairly Difficult (10th-12th grade),75.6,37,0.17,143,0.66,30.0,0,0.0,0.24,0.59,1.058,0.38
Small PRD,small_prd_files,kvin101__inventory-management-system__business.prd,https://github.com/kvin101/inventory-management-system,43.42,8.37,79.32,2.37,18.53,352,19,0.33,19.4,-2.0,17.9,20,21.0,17.3,21.4,Very Difficult (College Graduate),100.0,56,0.8,170,2.43,46.0,0,0.0,0.29,0.0,1.336,1.06
Small PRD,small_prd_files,cillianip__Geolingo__geolingo-prd,https://github.com/cillianip/Geolingo,23.49,9.83,53.37,2.12,10.31,361,35,0.3,16.2,25.4,13.9,17,16.6,14.8,17.5,Very Difficult (College Graduate),85.8,37,0.51,161,2.24,46.0,0,0.0,0.29,0.14,1.003,1.0
Small PRD,small_prd_files,mbubel__my-astro-app__TRIVIA_QUIZ_PRD,https://github.com/mbubel/my-astro-app,35.31,7.5,68.06,2.38,18.56,297,16,0.31,15.8,17.4,13.2,17,15.6,12.7,20.3,Very Difficult (College Graduate),100.0,49,0.49,148,1.47,46.0,0,0.0,0.1,0.03,1.078,0.54
Small PRD,small_prd_files,Cure-HHT__hht_diary__spec__prd-security,https://github.com/Cure-HHT/hht_diary,19.35,5.61,50.87,1.57,10.43,240,23,0.35,19.9,-0.4,19.3,21,21.5,18.4,19.2,Very Difficult (College Graduate),93.2,25,0.6,114,2.71,46.0,3,7.1,0.1,0.24,3.296,1.88
Small PRD,small_prd_files,TheLazyIndianTechie__LazyLearners__LMS_PRD,https://github.com/TheLazyIndianTechie/LazyLearners,42.75,6.19,88.12,1.97,41.38,662,16,0.31,38.9,-63.9,40.6,50,44.9,33.5,25.1,Very Difficult (College Graduate),75.8,26,0.79,188,5.7,18.0,0,0.0,0.91,0.12,2.368,2.94
Small PRD,small_prd_files,faezmurshidi__FaezTask__faez_prd,https://github.com/faezmurshidi/FaezTask,51.43,21.82,96.49,2.94,5.6,364,65,0.42,18.6,10.1,17.0,20,20.2,17.3,19.3,Very Difficult (College Graduate),85.5,43,0.63,144,2.12,46.0,0,0.0,0.12,0.03,1.149,1.43
Small PRD,small_prd_files,rodsilvavieira2__screenshot__prd,https://github.com/rodsilvavieira2/screenshot,16.89,13.0,29.81,1.42,2.68,263,98,0.31,12.4,37.6,10.9,12,13.1,12.1,14.4,Difficult (College),81.1,16,0.18,39,0.44,46.0,2,2.3,0.24,0.15,1.104,0.39
Small PRD,small_prd_files,wybert__earth-agent-chrome-ext__docs__prd_example,https://github.com/wybert/earth-agent-chrome-ext,27.57,7.13,45.04,1.83,16.3,375,23,0.31,18.2,9.0,16.8,19,19.1,16.5,19.6,Very Difficult (College Graduate),82.1,17,0.3,116,2.07,46.0,0,0.0,0.25,0.12,1.45,0.96
Small PRD,small_prd_files,popand__propdocs-api__PRD__propdocs_prd,https://github.com/popand/propdocs-api,46.15,17.96,63.46,2.76,8.91,410,46,0.38,23.4,-15.2,21.9,25,25.7,21.2,23.2,Very Difficult (College Graduate),96.9,37,0.73,140,2.75,46.0,0,0.0,0.18,0.08,1.405,1.78
Small PRD,small_prd_files,eamonnprwalsh__mcp-json-transformer__docs__mcp_prd,https://github.com/eamonnprwalsh/mcp-json-transformer,19.23,11.05,30.31,1.6,3.61,220,61,0.42,17.7,2.6,15.3,18,18.7,14.0,22.0,Very Difficult (College Graduate),94.4,22,0.25,124,1.41,46.0,0,0.0,0.26,0.06,1.418,0.81
Small PRD,small_prd_files,rodrigobranas__iadevt1_4__.claude__agents__prd-creator,https://github.com/rodrigobranas/iadevt1_4,17.65,4.96,40.78,1.25,10.74,247,23,0.41,15.2,29.1,13.1,16,15.9,14.3,16.7,Very Difficult (College Graduate),80.7,14,0.23,65,1.07,46.0,1,1.6,0.02,0.1,1.358,1.07
Small PRD,small_prd_files,ljluestc__etcd-monitor__PRD_README,https://github.com/ljluestc/etcd-monitor,18.15,12.24,35.35,1.43,2.94,276,94,0.51,16.2,24.3,12.8,18,16.6,13.8,18.7,Very Difficult (College Graduate),91.8,86,0.85,82,0.81,46.0,0,0.0,0.18,0.12,2.637,0.85
Small PRD,small_prd_files,apeejay-education__cognify__docs__prd-v3,https://github.com/apeejay-education/cognify,50.47,16.22,86.13,2.38,14.47,796,55,0.39,23.4,-12.0,22.0,26,25.1,21.0,22.8,Very Difficult (College Graduate),94.2,80,0.72,463,4.17,46.0,0,0.0,0.23,0.1,1.215,1.86
Small PRD,small_prd_files,cloudshipai__station__docs__PRD_IMPLEMENTATION_ORDER,https://github.com/cloudshipai/station,44.37,10.97,97.46,2.22,8.71,305,35,0.44,19.3,13.0,18.5,22,21.4,18.4,17.2,Very Difficult (College Graduate),86.8,44,0.96,114,2.48,46.0,0,0.0,0.11,0.0,2.046,0.85
Small PRD,small_prd_files,LilMonk__rahul_portfolio__portfolio_prd,https://github.com/LilMonk/rahul_portfolio,17.62,11.42,29.46,1.1,4.4,453,103,0.33,10.8,39.9,9.2,10,12.1,10.1,13.3,Difficult (College),85.8,29,0.11,161,0.63,46.0,0,0.0,0.06,0.03,0.951,0.21
Small PRD,small_prd_files,jwiegley__correspondence__prd,https://github.com/jwiegley/correspondence,23.67,6.46,45.04,1.89,13.54,325,24,0.34,13.8,29.0,12.0,14,13.6,12.3,16.8,Very Difficult (College Graduate),100.0,52,0.58,137,1.52,46.0,0,0.0,0.08,0.07,1.222,0.66
Small PRD,small_prd_files,la3lma__rmatch__prd-repo__PRD_PERFORMANCE_GITHUB_ACTION,https://github.com/la3lma/rmatch,32.39,9.0,61.04,2.44,12.78,294,23,0.35,19.8,1.8,16.9,22,21.4,17.0,22.5,Very Difficult (College Graduate),95.6,41,0.58,124,1.75,46.0,0,0.0,0.2,0.14,2.903,0.61
Small PRD,small_prd_files,akash-network__community__sig-clients__akash-console__prd-authorized-spend,https://github.com/akash-network/community,21.14,11.51,69.76,1.76,3.47,177,51,0.42,9.7,58.2,8.4,9,10.5,10.6,9.8,Fairly Difficult (10th-12th grade),68.8,14,0.16,21,0.24,30.0,0,0.0,0.21,0.41,0.936,0.33
Small PRD,small_prd_files,ErpNetDocs__model__tables__Prd_Load,https://github.com/ErpNetDocs/model,28.56,3.28,40.24,0.88,6.2,155,25,0.5,16.2,35.6,14.8,20,18.0,15.8,11.5,Difficult (College),47.2,24,0.63,4,0.11,30.0,0,0.0,0.5,0.05,2.158,0.87
Small PRD,small_prd_files,ofrnsb__angela-smart-contract__README_PRD,https://github.com/ofrnsb/angela-smart-contract,8.11,5.28,17.08,1.02,3.42,219,64,0.34,13.6,38.9,10.1,20,11.3,10.7,15.7,Difficult (College),100.0,33,0.42,81,1.03,46.0,0,0.0,0.1,0.09,2.628,0.29
Small PRD,small_prd_files,cosmicdreams__karaoke-mn__ai__prd-composite,https://github.com/cosmicdreams/karaoke-mn,17.71,10.25,45.0,1.71,5.33,272,51,0.31,11.0,52.8,8.8,11,11.0,10.9,12.9,Fairly Difficult (10th-12th grade),76.8,11,0.14,58,0.72,46.0,0,0.0,0.07,0.14,0.953,0.43
Small PRD,small_prd_files,RomanAlexanderW__all-claude-sub-agents-updated__agents__01-software-engineering__frontend__frameworks__prd-generator-agent,https://github.com/RomanAlexanderW/all-claude-sub-agents-updated,11.76,4.2,44.36,1.22,19.48,487,25,0.18,26.3,-18.5,25.5,30,29.6,24.2,21.5,Very Difficult (College Graduate),72.3,15,0.35,105,2.44,30.0,0,0.0,0.21,0.67,2.467,3.33
Small PRD,small_prd_files,ErpNetDocs__model__tables__Prd_Principal_Recipes,https://github.com/ErpNetDocs/model,62.07,6.93,84.17,1.51,5.6,168,30,0.55,16.2,34.0,15.0,20,18.5,16.2,12.2,Difficult (College),39.1,25,0.53,1,0.02,30.0,0,0.0,0.55,0.21,1.581,0.83
Small PRD,small_prd_files,banjoey__FORGE__docs__PRD-FORGE-SCORE,https://github.com/banjoey/FORGE,20.68,8.73,46.03,1.62,7.46,276,37,0.4,17.1,15.8,14.7,18,18.0,15.2,19.9,Very Difficult (College Graduate),83.3,15,0.25,110,1.8,46.0,0,0.0,0.05,0.08,1.522,1.43
Small PRD,small_prd_files,NiccoloSalvini__thesis__docs__05-prd_modelling,https://github.com/NiccoloSalvini/thesis,27.35,21.32,98.45,1.58,4.17,967,232,0.38,13.4,41.6,12.0,13,15.5,14.2,12.2,Difficult (College),30.7,8,0.02,15,0.04,30.0,0,0.0,0.18,0.41,0.839,0.39
Small PRD,small_prd_files,michael-h-patrianna__oscil__prd,https://github.com/michael-h-patrianna/oscil,35.64,8.91,63.88,1.97,13.88,458,33,0.4,18.3,10.2,16.4,20,19.3,16.5,19.6,Very Difficult (College Graduate),80.2,25,0.26,188,1.96,44.8,2,2.1,0.35,0.0,1.991,0.93
GitHub Articles,non_related_github,seanpm2001__RaspberryPi-Blog__Learn-Pi__New-Pi__2022__06_June__04__README,https://github.com/seanpm2001/RaspberryPi-Blog,998.94,490.39,4672.29,4.59,0.71,1424,2014,0.33,9.7,64.5,8.7,9,12.0,11.5,7.1,Standard (8th-9th grade),47.4,253,0.12,394,0.18,30.0,0,0.0,0.15,0.73,2.77,0.15
Small PRD,small_prd_files,perplext__LLMrecon__prd,https://github.com/perplext/LLMrecon,57.23,43.25,201.54,1.8,1.9,624,328,0.48,12.0,42.7,10.9,10,14.2,13.1,12.3,Difficult (College),52.0,7,0.02,72,0.18,29.4,4,1.0,0.17,0.44,0.8,0.88
GitHub Articles,non_related_github,seanpm2001__Raspberry-Pi-Network-Setup__Learn-Pi__New-Pi__2022__06_June__04__OldVersions__English__USA__README_V1,https://github.com/seanpm2001/Raspberry-Pi-Network-Setup,998.87,490.38,4672.17,4.59,0.71,1425,2014,0.33,9.7,64.5,8.7,9,12.0,11.5,7.1,Standard (8th-9th grade),47.4,253,0.12,394,0.18,30.0,0,0.0,0.15,0.73,2.769,0.15
GitHub Articles,non_related_github,jaccen__DeallyEngine__Doc__README,https://github.com/jaccen/DeallyEngine,42.94,39.28,79.11,0.81,2.12,3348,1576,0.27,13.7,29.8,11.6,14,14.0,12.2,16.6,Very Difficult (College Graduate),80.3,210,0.14,905,0.61,46.0,0,0.0,0.14,0.04,0.739,0.12
